State,State_FIPS,Region,Year,Month,DailywoBoard_final,HourlyComposite_final,MonthlyComposite_final,TotalHiredSeasonal_final,Mexican_final,HiredWorkersonFarms_final,Local_final,Intrastate_final,Interstate_final,TotalForeign_final,Jamaican_final,Bahamian_final,BWIOthers_final,BWI_final,Canadian_final,CanadianOthers_final,PuertoRican_final,OtherForeign_final,TotalAg_final,Nonlocal_final,Farmworkers_Total,Farmworkers_Family,Farmworkers_Hired,Petroleum,Tractors,Cotton_machine,Sugarbeet_machine,Sugarbeet_monogerm,SugarBeets,Cotton,Tomatoes_total,Lettuce,Strawberries_total,Citrus,Cantaloupes,BrusselsSprouts,Asparagus_total,Celery,Cucumbers_pickle,Tomatoes_fresh,Tomatoes_proc,Strawberries_fresh,Strawberries_proc,Asparagus_fresh,Asparagus_proc,TotalHiredSeasonal_dual,TotalHiredSeasonal_HP,TotalAg_dual,TotalAg_HP,Mexican_dual,Mexican_HP,TotalForeign_dual,TotalForeign_HP,TotalDomestic_dual,Local_dual,Local_HP,Intrastate_dual,Intrastate_HP,Interstate_dual,Interstate_HP,Jamaican_dual,Jamaican_HP,Bahamian_dual,Bahamian_HP,BWI_dual,BWI_HP,Canadian_dual,Canadian_HP,PuertoRican_dual,PuertoRican_HP,OtherForeign_dual,OtherForeign_HP,cropland_1954,State_name,pop1950
AL,1,6.0,1947,7.0,3.0,,52.9,,,207000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1963,9.0,,,,21980.0,0.0,,21830.0,150.0,0.0,0.0,,,,0.0,,0,0.0,,,,227,162,65,,,37,,,,885.0,14448.0,,1650.0,,85,,0.0,,,14448.0,,1650,,,,21980,,,,0,,0,,21980,21830,,150,,0,,,,,,0,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1945,8.0,,,,,,,,,,370.0,,,,,,,,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,370.0,,4812000,Alabama,3061743
AL,1,6.0,1972,4.0,9.9,,,,,81000.0,,,,,,,,,,,,,,,86,68,18,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1964,10.0,5.3,0.653,,16195.0,0.0,295000.0,16159.0,0.0,36.0,0.0,,,,0.0,,,0.0,0.0,,,227,170,57,24069642,71925,55,,,,887.0,13440.0,,1725.0,,72,,0.0,,,13440.0,,1725,,,,16195,,,,0,,0,,16195,16159,,0,,36,,,,,,0,,,,0,,0.0,,4812000,Alabama,3061743
AL,1,6.0,1946,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1956,4.0,4.1,0.406,,,,147000.0,,,,,,,,,,,,,,,,,,,,3,,,,750.0,17192.0,,1944.0,,,,0.0,,,17192.0,,1750,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1961,10.0,4.55,0.577,,24335.0,0.0,405000.0,24275.0,0.0,60.0,0.0,,,,0.0,,0,0.0,,,,265,195,70,,,20,,,,616.0,15792.0,,2070.0,,110,,0.0,,,15792.0,,2070,,,,24335,,,,0,,0,,24335,24275,,0,,60,,,,,,0,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1965,5.0,,,,5930.0,0.0,,5115.0,0.0,815.0,0.0,,,,0.0,,,0.0,0.0,,,157,125,32,,,73,,,,852.0,14784.0,,1680.0,,80,,0.0,,,14784.0,,1680,,,,5930,,,,0,,0,,5930,5115,,0,,815,,,,,,0,,,,0,,0.0,,4812000,Alabama,3061743
AL,1,6.0,1945,7.0,2.6,,45.8,,,215000.0,,,,350.0,,,,,,,,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,350.0,,4812000,Alabama,3061743
AL,1,6.0,1961,5.0,,,,6845.0,0.0,,5661.0,0.0,1184.0,0.0,,,,0.0,,0,0.0,,,,145,113,32,,,20,,,,616.0,15792.0,,2070.0,,110,,0.0,,,15792.0,,2070,,,,6845,,,,0,,0,,6845,5661,,0,,1184,,,,,,0,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1955,1.0,3.8,0.467,,,,96000.0,,,,,,,,,,,,,,,,,,,,2,,,,1045.0,16240.0,,1152.0,,,,0.0,,,16240.0,,1016,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1962,9.0,,,,24475.0,0.0,,23830.0,610.0,35.0,0.0,,,,0.0,,0,0.0,,,,234,157,77,,,29,,,,695.0,13552.0,,1890.0,,81,,0.0,,,13552.0,,1890,,,,24475,,,,0,,0,,24475,23830,,610,,35,,,,,,0,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1943,1.0,1.65,,31.75,,,163000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1942,4.0,1.3,,25.25,,,225000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1965,9.0,,,,12630.0,0.0,,12555.0,75.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,186,144,42,,,73,,,,852.0,14784.0,,1680.0,,80,,0.0,,,14784.0,,1680,,,,12630,,,,0,,0,,12630,12555,,75,,0,,,,,,0,,,,0,,0.0,,4812000,Alabama,3061743
AL,1,6.0,1946,10.0,3.2,,54.7,,,301000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1968,8.0,,,,,,,2040.0,0.0,795.0,,,,,,,,0.0,,,,102,78,24,,,84,,,,396.0,25200.0,,1140.0,,72,,0.0,,,25200.0,,1140,,,,,,,,,,,,2835,2040,,0,,795,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1973,6.0,,,,,,,6525.0,160.0,365.0,,,,,,,,0.0,,,,81,61,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7050,6525,,160,,365,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1955,10.0,4.2,0.506,,47094.0,0.0,429000.0,46994.0,0.0,0.0,0.0,,,0,,,,0.0,,46994.0,,,,,,,2,,,,1045.0,16240.0,,1152.0,,,,0.0,,,16240.0,,1016,136,,,47094,,46994,,0,,0,,46994,46994,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1957,9.0,,,,26920.0,0.0,,26565.0,0.0,0.0,0.0,,,0,,,,0.0,,26565.0,,269,202,67,,,2,,,,530.0,17472.0,,1900.0,,,,0.0,,,17472.0,,1700,200,,,26920,,26565,,0,,0,,26565,26565,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1942,7.0,1.35,,26.5,,,309000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1969,1.0,7.4,0.931,,,,46000.0,,,,,,,,,,,,,,,58,47,11,27840000,75069,88,,,,460.0,27608.0,,0.0,,,,0.0,,,27608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,,1973,12.0,,,,,,,,,,,,,,,,,,,,,70,58,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1956,9.0,,,,53642.0,0.0,,53301.0,0.0,0.0,0.0,,,0,,,,0.0,,53301.0,,,,,,,3,,,,750.0,17192.0,,1944.0,,,,0.0,,,17192.0,,1750,194,,,53642,,53301,,0,,0,,53301,53301,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1946,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1964,9.0,,,,16935.0,0.0,,16860.0,40.0,35.0,0.0,,,,0.0,,,0.0,0.0,,,211,152,59,24069642,71925,55,,,,887.0,13440.0,,1725.0,,72,,0.0,,,13440.0,,1725,,,,16935,,,,0,,0,,16935,16860,,40,,35,,,,,,0,,,,0,,0.0,,4812000,Alabama,3061743
AL,1,6.0,1957,10.0,4.3,0.523,,19732.0,0.0,363000.0,19532.0,0.0,0.0,0.0,,,0,,,,0.0,,19532.0,,305,231,74,,,2,,,,530.0,17472.0,,1900.0,,,,0.0,,,17472.0,,1700,200,,,19732,,19532,,0,,0,,19532,19532,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1966,6.0,,,,12425.0,0.0,,10684.0,515.0,1226.0,0.0,,,,0.0,,,0.0,0.0,,,110,75,35,,,75,,,,460.0,15456.0,,1625.0,,75,,0.0,,,15456.0,,1625,,,,12425,,,,0,,0,,12425,10684,,515,,1226,,,,,,0,,,,0,,0.0,,4812000,Alabama,3061743
AL,1,6.0,1964,2.0,,,,,,,,,,,,,,,,,,,,,88,71,17,24069642,71925,55,,,,887.0,13440.0,,1725.0,,72,,0.0,,,13440.0,,1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1967,7.0,6.5,0.669,,7225.0,,189000.0,6040.0,220.0,965.0,0.0,,,,,,,0.0,,,,98,70,28,,,81,,,,200.0,18480.0,,1300.0,,78,,0.0,,,18480.0,,1300,,,,7225,,,,,,0,,7225,6040,,220,,965,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1971,10.0,9.8,,,9000.0,,156000.0,8950.0,0.0,50.0,0.0,,,,,,,0.0,,,,132,108,24,,,97,,,,,,,,,,,,,,,,,,,,9000,,,,,,0,,9000,8950,,0,,50,,,,,,,,,,0,,,,4812000,Alabama,3061743
AL,1,6.0,1961,11.0,,,,10795.0,0.0,,10795.0,0.0,0.0,0.0,,,,0.0,,0,0.0,,,,168,129,39,,,20,,,,616.0,15792.0,,2070.0,,110,,0.0,,,15792.0,,2070,,,,10795,,,,0,,0,,10795,10795,,0,,0,,,,,,0,,,,0,,,,4812000,Alabama,3061743
AL,1,,1973,9.0,,,,,,,,,,,,,,,,,,,,,100,81,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812000,Alabama,3061743
AL,1,6.0,1955,7.0,3.7,0.379,,8241.0,0.0,265000.0,7921.0,0.0,0.0,0.0,,,0,,,,0.0,,7921.0,,,,,,,2,,,,1045.0,16240.0,,1152.0,,,,0.0,,,16240.0,,1016,136,,,8241,,7921,,0,,0,,7921,7921,,0,,0,,,,,,,,,,0,,,,4812000,Alabama,3061743
