State_FIPS,time_m,cpi
1,-216.0,0.09895031
1,-213.0,0.10147133
1,-210.0,0.103362106
1,-207.0,0.10525288
1,-204.0,0.10651338
1,-201.0,0.10966467
1,-200.0,0.11029493
1,-199.0,0.11029493
1,-198.0,0.10966467
1,-197.0,0.10903441
1,-196.0,0.10966467
1,-195.0,0.10966467
1,-194.0,0.10966467
1,-193.0,0.10966467
1,-192.0,0.10966467
1,-191.0,0.10966467
1,-190.0,0.10966467
1,-189.0,0.11029493
1,-188.0,0.11029493
1,-187.0,0.11092518
1,-186.0,0.11155544
1,-185.0,0.11155544
1,-184.0,0.11155544
1,-183.0,0.11155544
1,-182.0,0.11155544
1,-181.0,0.1121857
1,-180.0,0.1121857
1,-179.0,0.1121857
1,-178.0,0.1121857
1,-177.0,0.1121857
1,-176.0,0.11281595
1,-175.0,0.114076465
1,-174.0,0.114076465
1,-173.0,0.114076465
1,-172.0,0.114076465
1,-171.0,0.114076465
1,-170.0,0.114076465
1,-169.0,0.114706725
1,-168.0,0.114706725
1,-167.0,0.114076465
1,-166.0,0.11533698
1,-165.0,0.11596724
1,-164.0,0.116597496
1,-163.0,0.11785801
1,-162.0,0.12479083
1,-161.0,0.12731186
1,-160.0,0.12857237
1,-159.0,0.1310934
1,-158.0,0.13424468
1,-157.0,0.1355052
1,-156.0,0.1355052
1,-155.0,0.1355052
1,-154.0,0.13802622
1,-153.0,0.13802622
1,-152.0,0.13802622
1,-151.0,0.13865647
1,-150.0,0.13991699
1,-149.0,0.14180776
1,-148.0,0.14495905
1,-147.0,0.14495905
1,-146.0,0.14558929
1,-145.0,0.14748007
1,-144.0,0.14937085
1,-141.0,0.15000111
1,-138.0,0.15378264
1,-135.0,0.15378264
1,-132.0,0.15126161
1,-129.0,0.15063137
1,-126.0,0.14937085
1,-123.0,0.14937085
1,-120.0,0.14811033
1,-117.0,0.14874059
1,-114.0,0.15189187
1,-111.0,0.15504315
1,-108.0,0.1600852
1,-105.0,0.16260624
1,-102.0,0.1632365
1,-99.0,0.16512726
1,-96.0,0.16701803
1,-93.0,0.16638777
1,-90.0,0.16827855
1,-87.0,0.16827855
1,-84.0,0.16764829
1,-81.0,0.16764829
1,-80.0,0.16827855
1,-79.0,0.1689088
1,-78.0,0.1689088
1,-77.0,0.16953906
1,-76.0,0.16953906
1,-75.0,0.17016931
1,-74.0,0.16953906
1,-72.0,0.16953906
1,-69.0,0.1689088
1,-68.0,0.16953906
1,-67.0,0.16953906
1,-66.0,0.16953906
1,-65.0,0.16953906
1,-64.0,0.1689088
1,-63.0,0.1689088
1,-62.0,0.1689088
1,-60.0,0.16827855
1,-57.0,0.16827855
1,-56.0,0.16827855
1,-55.0,0.16827855
1,-54.0,0.1689088
1,-53.0,0.1689088
1,-52.0,0.16953906
1,-51.0,0.16953906
1,-50.0,0.16953906
1,-48.0,0.1689088
1,-45.0,0.16953906
1,-44.0,0.17016931
1,-43.0,0.17142983
1,-42.0,0.17269035
1,-41.0,0.17206009
1,-40.0,0.17269035
1,-39.0,0.17332059
1,-38.0,0.17332059
1,-36.0,0.17395085
1,-33.0,0.17584163
1,-32.0,0.17647187
1,-31.0,0.17710213
1,-30.0,0.17836265
1,-29.0,0.17836265
1,-28.0,0.17836265
1,-27.0,0.17836265
1,-26.0,0.17899291
1,-24.0,0.18025342
1,-21.0,0.1821442
1,-20.0,0.1821442
1,-19.0,0.1821442
1,-18.0,0.18277445
1,-17.0,0.1821442
1,-16.0,0.1821442
1,-15.0,0.1821442
1,-14.0,0.18277445
1,-13.0,0.1821442
1,-12.0,0.18277445
1,-9.0,0.18277445
1,-7.0,0.1834047
1,-6.0,0.18403496
1,-5.0,0.18403496
1,-4.0,0.18466522
1,-3.0,0.18529548
1,-2.0,0.18529548
1,-1.0,0.18529548
1,0.0,0.18466522
1,3.0,0.18592574
1,4.0,0.18592574
1,5.0,0.186556
1,6.0,0.186556
1,7.0,0.186556
1,8.0,0.186556
1,9.0,0.1878165
1,10.0,0.1878165
1,12.0,0.1878165
1,15.0,0.1878165
1,16.0,0.1878165
1,17.0,0.1878165
1,18.0,0.18907702
1,19.0,0.18844676
1,20.0,0.18907702
1,21.0,0.18907702
1,22.0,0.18907702
1,24.0,0.18907702
1,27.0,0.19033752
1,28.0,0.19033752
1,29.0,0.19033752
1,30.0,0.19096778
1,31.0,0.19096778
1,32.0,0.19159804
1,33.0,0.19159804
1,34.0,0.19159804
1,35.0,0.19159804
1,36.0,0.19159804
1,37.0,0.19159804
1,38.0,0.1922283
1,39.0,0.1922283
1,40.0,0.1922283
1,41.0,0.19285856
1,42.0,0.19348882
1,43.0,0.19348882
1,44.0,0.19348882
1,45.0,0.19411907
1,46.0,0.19411907
1,47.0,0.19474933
1,48.0,0.19474933
1,49.0,0.19474933
1,50.0,0.19474933
1,51.0,0.19474933
1,52.0,0.19474933
1,53.0,0.19537959
1,54.0,0.19600983
1,55.0,0.19537959
1,56.0,0.19600983
1,57.0,0.19600983
1,58.0,0.1966401
1,59.0,0.1966401
1,60.0,0.1966401
1,61.0,0.1966401
1,62.0,0.19727035
1,63.0,0.19790062
1,64.0,0.19790062
1,65.0,0.19916111
1,66.0,0.19916111
1,67.0,0.19916111
1,68.0,0.19916111
1,69.0,0.19979139
1,70.0,0.19979139
1,71.0,0.20042163
1,72.0,0.20042163
1,73.0,0.20168215
1,74.0,0.20231241
1,75.0,0.20357293
1,76.0,0.20357293
1,77.0,0.20420317
1,78.0,0.20483345
1,79.0,0.20609394
1,80.0,0.20609394
1,81.0,0.20735446
1,82.0,0.20735446
1,83.0,0.20735446
1,84.0,0.20735446
1,85.0,0.20735446
1,86.0,0.20798472
1,87.0,0.20861498
1,88.0,0.20924523
1,89.0,0.20987548
1,90.0,0.21050575
1,91.0,0.211136
1,92.0,0.21176624
1,93.0,0.21239652
