State,Year,tomato_mech,braceros
CA,1955,0.0,74200
CA,1956,0.0,94100
CA,1957,0.0,89063
CA,1958,0.0,88419
CA,1959,0.0,82080
CA,1960,0.0,69740
CA,1961,0.0,61630
CA,1962,0.0,71710
CA,1963,0.5,59960
CA,1964,3.799999952316284,62750
CA,1965,24.700000762939453,12940
CA,1966,65.80000305175781,7760
CA,1967,81.80000305175781,5850
CA,1968,95.0999984741211,0
CA,1969,99.5,0
CA,1970,99.9000015258789,0
CA,1971,100.0,0
CA,1972,100.0,0
CA,1973,100.0,0
CA,1974,100.0,0
CA,1975,100.0,0
OH,1955,0.0,0
OH,1956,0.0,74
OH,1957,0.0,64
OH,1958,0.0,0
OH,1959,0.0,0
OH,1960,0.0,0
OH,1961,0.0,0
OH,1962,0.0,0
OH,1963,0.0,0
OH,1964,0.0,0
OH,1965,0.0,0
OH,1966,0.0,0
OH,1967,0.0,0
OH,1968,0.0,0
OH,1969,2.0,0
OH,1970,5.0,0
OH,1971,10.0,0
OH,1972,10.0,0
OH,1973,10.0,0
OH,1974,12.0,0
OH,1975,14.0,0
